,DayOfWeekTrend,DayOfYearTrend,HolidayTrend,LongTermTrend,Regression,SeasonalTrend,elpd,DayOfYearHeirarchicalVariance,DayOfYearNormalVariance,DayOfWeekWeights
0,no,no,no,no,glm,no,5232.03,,,
1,no,yes,no,no,glm,no,4578.51,no,no,
2,no,no,no,no,glm,yes,5585.64,,,
3,no,no,no,yes,glm,no,6717.52,,,
4,no,no,yes,no,glm,no,5258.05,,,
5,yes,no,no,no,glm,no,6910.55,,,uniform
6,yes,no,no,no,glm,no,2534.39,,,weighted
7,yes,yes,no,no,glm,no,6540.03,no,no,uniform
8,yes,yes,no,no,glm,no,7457.22,no,yes,uniform
9,yes,yes,no,no,glm,no,7812.98,yes,no,uniform
10,yes,yes,no,no,glm,no,6935.09,yes,yes,uniform
11,yes,no,no,no,glm,yes,7522.39,,,uniform
12,yes,no,no,yes,glm,no,10947.29,,,uniform
13,yes,no,yes,no,glm,no,6818.07,,,uniform
14,yes,yes,no,yes,glm,no,13949.47,no,no,uniform
15,yes,yes,no,yes,glm,no,13956.11,no,yes,uniform
16,yes,yes,no,yes,glm,no,13979.34,yes,no,uniform
17,yes,yes,no,yes,glm,no,13959.7,yes,yes,uniform
18,yes,no,no,yes,glm,yes,13127.09,,,uniform
19,yes,no,yes,yes,glm,no,11204.72,,,uniform
20,yes,no,no,yes,glm,no,9539.07,,,weighted
21,no,yes,no,yes,glm,no,7179.98,yes,no,
22,yes,yes,no,yes,glm,yes,14076.06,yes,no,uniform
23,yes,yes,yes,yes,glm,no,14526.21,yes,no,uniform
24,yes,yes,no,yes,glm,no,14620.97,yes,no,weighted
25,yes,yes,no,yes,glm,no,14599.08,no,no,weighted
26,yes,yes,no,no,glm,no,4232.97,yes,no,weighted
27,yes,yes,no,yes,glm,yes,8271.31,yes,no,weighted
28,yes,yes,yes,yes,glm,no,15299.22,yes,no,weighted
29,yes,yes,no,yes,glm,no,14598.53,yes,yes,weighted
30,no,yes,yes,yes,glm,no,7228.88,yes,no,
31,yes,yes,yes,yes,glm,no,14755.47,no,no,weighted
32,yes,yes,yes,no,glm,no,3283.42,yes,no,weighted
33,yes,yes,yes,yes,glm,yes,15071.18,yes,no,weighted
34,yes,yes,yes,yes,glm,no,15313.68,yes,yes,weighted
35,yes,no,yes,yes,glm,no,11466.83,,,weighted
36,no,yes,yes,yes,glm,no,5882.44,yes,yes,
37,yes,yes,yes,yes,glm,no,12213.75,yes,yes,uniform
38,yes,yes,yes,yes,glm,no,14929.74,no,yes,weighted
39,yes,yes,yes,no,glm,no,1606.94,yes,yes,weighted
40,yes,yes,yes,yes,glm,yes,15384.86,yes,yes,weighted
41,no,yes,yes,yes,glm,yes,5888.01,yes,yes,
42,yes,yes,yes,yes,glm,yes,14608.01,yes,yes,uniform
43,yes,yes,yes,yes,glm,yes,15301.54,no,yes,weighted
44,yes,yes,no,yes,glm,yes,11698.06,yes,yes,weighted
45,yes,yes,yes,no,glm,yes,2161.1,yes,yes,weighted
46,yes,no,yes,yes,glm,yes,14109.15,,,weighted
