DayOfWeekTrend,DayOfYearHeirarchicalVariance,DayOfYearNormalVariance,DayOfYearTrend,HolidayTrend,LongTermTrend,Regression,SeasonalTrend,elpd,DayOfWeekWeights
no,no,no,yes,no,no,glm,no,4578.51,
no,no,no,yes,no,no,glm,yes,,
no,no,no,yes,no,yes,glm,no,,
no,no,no,yes,no,yes,glm,yes,,
no,no,no,yes,yes,no,glm,no,,
no,no,no,yes,yes,no,glm,yes,,
no,no,no,yes,yes,yes,glm,no,,
no,no,no,yes,yes,yes,glm,yes,,
no,no,yes,yes,no,no,glm,no,,
no,no,yes,yes,no,no,glm,yes,,
no,no,yes,yes,no,yes,glm,no,,
no,no,yes,yes,no,yes,glm,yes,,
no,no,yes,yes,yes,no,glm,no,,
no,no,yes,yes,yes,no,glm,yes,,
no,no,yes,yes,yes,yes,glm,no,,
no,no,yes,yes,yes,yes,glm,yes,,
no,yes,no,yes,no,no,glm,no,,
no,yes,no,yes,no,no,glm,yes,,
no,yes,no,yes,no,yes,glm,no,7179.98,
no,yes,no,yes,no,yes,glm,yes,,
no,yes,no,yes,yes,no,glm,no,,
no,yes,no,yes,yes,no,glm,yes,,
no,yes,no,yes,yes,yes,glm,no,7228.88,
no,yes,no,yes,yes,yes,glm,yes,,
no,yes,yes,yes,no,no,glm,no,,
no,yes,yes,yes,no,no,glm,yes,,
no,yes,yes,yes,no,yes,glm,no,,
no,yes,yes,yes,no,yes,glm,yes,,
no,yes,yes,yes,yes,no,glm,no,,
no,yes,yes,yes,yes,no,glm,yes,,
no,yes,yes,yes,yes,yes,glm,no,5882.44,
no,yes,yes,yes,yes,yes,glm,yes,5888.01,
no,,,no,no,no,glm,no,5232.03,
no,,,no,no,no,glm,yes,5585.64,
no,,,no,no,yes,glm,no,6717.52,
no,,,no,no,yes,glm,yes,,
no,,,no,yes,no,glm,no,5258.05,
no,,,no,yes,no,glm,yes,,
no,,,no,yes,yes,glm,no,,
no,,,no,yes,yes,glm,yes,,
yes,no,no,yes,no,no,glm,no,6540.03,uniform
yes,no,no,yes,no,no,glm,yes,,uniform
yes,no,no,yes,no,yes,glm,no,13949.47,uniform
yes,no,no,yes,no,yes,glm,yes,,uniform
yes,no,no,yes,yes,no,glm,no,,uniform
yes,no,no,yes,yes,no,glm,yes,,uniform
yes,no,no,yes,yes,yes,glm,no,,uniform
yes,no,no,yes,yes,yes,glm,yes,,uniform
yes,no,yes,yes,no,no,glm,no,7457.22,uniform
yes,no,yes,yes,no,no,glm,yes,,uniform
yes,no,yes,yes,no,yes,glm,no,13956.11,uniform
yes,no,yes,yes,no,yes,glm,yes,,uniform
yes,no,yes,yes,yes,no,glm,no,,uniform
yes,no,yes,yes,yes,no,glm,yes,,uniform
yes,no,yes,yes,yes,yes,glm,no,,uniform
yes,no,yes,yes,yes,yes,glm,yes,,uniform
yes,yes,no,yes,no,no,glm,no,7812.98,uniform
yes,yes,no,yes,no,no,glm,yes,,uniform
yes,yes,no,yes,no,yes,glm,no,13979.34,uniform
yes,yes,no,yes,no,yes,glm,yes,14076.06,uniform
yes,yes,no,yes,yes,no,glm,no,,uniform
yes,yes,no,yes,yes,no,glm,yes,,uniform
yes,yes,no,yes,yes,yes,glm,no,14526.21,uniform
yes,yes,no,yes,yes,yes,glm,yes,,uniform
yes,yes,yes,yes,no,no,glm,no,6935.09,uniform
yes,yes,yes,yes,no,no,glm,yes,,uniform
yes,yes,yes,yes,no,yes,glm,no,13959.7,uniform
yes,yes,yes,yes,no,yes,glm,yes,,uniform
yes,yes,yes,yes,yes,no,glm,no,,uniform
yes,yes,yes,yes,yes,no,glm,yes,,uniform
yes,yes,yes,yes,yes,yes,glm,no,12213.75,uniform
yes,yes,yes,yes,yes,yes,glm,yes,14608.01,uniform
yes,,,no,no,no,glm,no,6910.55,uniform
yes,,,no,no,no,glm,yes,7522.39,uniform
yes,,,no,no,yes,glm,no,10947.29,uniform
yes,,,no,no,yes,glm,yes,13127.09,uniform
yes,,,no,yes,no,glm,no,6818.07,uniform
yes,,,no,yes,no,glm,yes,,uniform
yes,,,no,yes,yes,glm,no,11204.72,uniform
yes,,,no,yes,yes,glm,yes,,uniform
yes,no,no,yes,no,no,glm,no,,weighted
yes,no,no,yes,no,no,glm,yes,,weighted
yes,no,no,yes,no,yes,glm,no,14599.08,weighted
yes,no,no,yes,no,yes,glm,yes,,weighted
yes,no,no,yes,yes,no,glm,no,,weighted
yes,no,no,yes,yes,no,glm,yes,,weighted
yes,no,no,yes,yes,yes,glm,no,14755.47,weighted
yes,no,no,yes,yes,yes,glm,yes,,weighted
yes,no,yes,yes,no,no,glm,no,,weighted
yes,no,yes,yes,no,no,glm,yes,,weighted
yes,no,yes,yes,no,yes,glm,no,,weighted
yes,no,yes,yes,no,yes,glm,yes,,weighted
yes,no,yes,yes,yes,no,glm,no,,weighted
yes,no,yes,yes,yes,no,glm,yes,,weighted
yes,no,yes,yes,yes,yes,glm,no,14929.74,weighted
yes,no,yes,yes,yes,yes,glm,yes,15301.54,weighted
yes,yes,no,yes,no,no,glm,no,4232.97,weighted
yes,yes,no,yes,no,no,glm,yes,,weighted
yes,yes,no,yes,no,yes,glm,no,14620.97,weighted
yes,yes,no,yes,no,yes,glm,yes,8271.31,weighted
yes,yes,no,yes,yes,no,glm,no,3283.42,weighted
yes,yes,no,yes,yes,no,glm,yes,,weighted
yes,yes,no,yes,yes,yes,glm,no,15299.22,weighted
yes,yes,no,yes,yes,yes,glm,yes,15071.18,weighted
yes,yes,yes,yes,no,no,glm,no,,weighted
yes,yes,yes,yes,no,no,glm,yes,,weighted
yes,yes,yes,yes,no,yes,glm,no,14598.53,weighted
yes,yes,yes,yes,no,yes,glm,yes,11698.06,weighted
yes,yes,yes,yes,yes,no,glm,no,1606.94,weighted
yes,yes,yes,yes,yes,no,glm,yes,2161.1,weighted
yes,yes,yes,yes,yes,yes,glm,no,15313.68,weighted
yes,yes,yes,yes,yes,yes,glm,yes,15384.86,weighted
yes,,,no,no,no,glm,no,2534.39,weighted
yes,,,no,no,no,glm,yes,,weighted
yes,,,no,no,yes,glm,no,9539.07,weighted
yes,,,no,no,yes,glm,yes,,weighted
yes,,,no,yes,no,glm,no,,weighted
yes,,,no,yes,no,glm,yes,,weighted
yes,,,no,yes,yes,glm,no,11466.83,weighted
yes,,,no,yes,yes,glm,yes,14109.15,weighted
